Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
NCE19,OUT017,950.3326078249389
NCM53,OUT010,562.2078608712523
NCN18,OUT049,1833.1460929779257
FDF32,OUT035,3288.456117918934
FDF11,OUT013,3974.089093908992
DRI59,OUT049,3914.9191864906343
NCG54,OUT035,2808.3625407383515
FDM44,OUT046,1604.006744302747
FDT57,OUT018,3302.3464985555624
FDV24,OUT046,2284.818305811882
FDI50,OUT019,981.5695229312071
FDS09,OUT035,842.8812464648398
NCC31,OUT027,3595.0580731492228
FDQ07,OUT019,673.8872397126496
FDC22,OUT017,3082.2377220624326
FDZ56,OUT046,2737.4238758992187
FDZ40,OUT019,282.3627763288588
FDS46,OUT027,3000.80329812123
DRD24,OUT045,2119.246990488082
FDV45,OUT017,3172.0472669600736
FDL26,OUT045,2410.160421977481
FDA56,OUT018,1653.703384447753
FDN27,OUT046,1673.5169271251766
FDM20,OUT049,4162.897516599032
FDO16,OUT017,1424.5267664503608
FDL03,OUT035,3186.604087009262
FDE58,OUT046,1768.531187947652
FDI02,OUT027,2990.3148746264624
NCC55,OUT019,139.12261457838324
FDR03,OUT018,3133.154357123337
FDB14,OUT017,1568.5718897286324
FDR45,OUT013,3967.173460614169
NCN07,OUT017,2205.5866818062996
FDM51,OUT019,378.36995147189583
FDT52,OUT027,6146.538877747755
FDL26,OUT046,2351.355881427261
NCZ42,OUT046,3733.6989092125687
DRI47,OUT019,437.2789963128293
FDW40,OUT013,2167.904376125154
FDN34,OUT046,2790.3382955782363
FDS01,OUT035,2926.933028597045
NCG55,OUT045,1841.0005101073573
FDC11,OUT035,1376.3429448706975
FDX35,OUT018,3125.5817324926884
NCB06,OUT046,2504.469900731235
FDR09,OUT019,694.6673990925768
FDC53,OUT017,1683.3271534139728
FDY45,OUT013,4259.940703359707
FDA22,OUT010,472.2671199399847
FDE02,OUT035,1658.6018041067068
FDW21,OUT045,1685.1097746593937
FDV34,OUT046,1116.9368683246698
FDS59,OUT049,1739.577499240044
NCW17,OUT017,2180.772454049001
NCK54,OUT046,1801.237755367679
FDG17,OUT019,862.0707452963119
FDG35,OUT017,2970.308954661023
FDD08,OUT010,103.06085044658417
NCO07,OUT017,3924.396076376455
FDJ10,OUT010,548.8128916465528
FDW36,OUT017,1734.9200038971185
FDW21,OUT010,642.7788694691429
FDY19,OUT017,1958.7674980898034
DRE03,OUT013,749.8865209094993
NCC55,OUT049,736.0513431281258
FDH52,OUT010,318.22268388978375
FDO09,OUT017,4495.247755150082
FDU43,OUT045,3931.610407758659
FDX09,OUT010,455.0735098176349
FDH40,OUT019,402.8986831677707
FDW58,OUT017,1733.1991046402222
FDC47,OUT017,3939.7059703511877
NCR41,OUT035,1666.8647216317322
DRG49,OUT035,4323.997458352752
FDC52,OUT027,3576.8477125591357
FDY13,OUT046,1122.3877787982572
FDY35,OUT013,722.7177882592466
FDI35,OUT017,3447.6517845253825
NCU18,OUT049,2222.180424302195
FDY33,OUT018,2268.3234913872357
FDC15,OUT027,3688.9411415595755
FDU01,OUT049,3124.8128243265623
NCU42,OUT046,2734.035059071444
NCV29,OUT018,2818.170168216017
NCY30,OUT017,3177.9405191769456
FDQ46,OUT049,1914.6164938588665
FDG58,OUT027,3651.2465934815677
FDK33,OUT017,3759.2124115844936
NCD07,OUT045,1818.158422039046
NCX29,OUT027,3549.960809117079
NCT42,OUT013,2350.7337912701446
DRN59,OUT035,808.30249968475
FDI44,OUT035,1330.3107930071008
FDA45,OUT049,2552.495739766352
FDP31,OUT045,911.6570490581599
FDY01,OUT046,1790.2119987565163
FDT09,OUT018,1774.7762355242285
DRH03,OUT027,2363.7521966015784
FDA36,OUT018,2831.102326396895
NCF31,OUT017,2461.6965119751926
FDG14,OUT049,2473.796340967506
FDG28,OUT027,6011.422657592171
FDU14,OUT049,4153.105403426412
FDY47,OUT019,387.2423437467724
FDI56,OUT049,1480.797270198386
DRD01,OUT013,886.4824612674221
FDM22,OUT046,903.4437455687423
FDH33,OUT013,701.0093277393636
DRZ24,OUT013,1895.1369929530545
NCQ38,OUT046,1610.7684400872984
FDO16,OUT027,2105.6889520049945
FDU07,OUT027,3791.4875350989337
NCB07,OUT013,2954.585562358414
FDU48,OUT045,2074.88353441544
NCM43,OUT045,2697.5030712014
FDR31,OUT010,501.9353515646562
DRK49,OUT018,542.5349647713356
NCI30,OUT010,620.4659504635971
DRD60,OUT017,2997.8638258165242
NCG19,OUT046,3363.7801551142584
FDH12,OUT035,1730.015727178526
FDM32,OUT035,1496.051840907186
FDM27,OUT035,2461.990866718166
NCU53,OUT027,4178.0273745386385
NCQ18,OUT046,1516.1757128659633
FDS10,OUT013,2860.491701935435
FDB33,OUT027,3994.332353357113
FDI12,OUT013,1354.8656915479273
NCW42,OUT013,3785.668552504408
NCC06,OUT018,1703.2941002984487
FDW02,OUT017,2111.3252794300693
NCD43,OUT017,1763.0351392099326
FDM57,OUT018,1111.7644282273181
FDA58,OUT017,3867.3752570521297
FDK56,OUT046,2884.587878507513
FDP52,OUT045,4037.133742809601
FDW20,OUT018,1612.4793207502523
FDS52,OUT049,1643.4625211704536
NCT29,OUT018,1469.1632931652728
NCL54,OUT013,2877.1850050863122
FDC05,OUT045,2981.916918343509
FDF34,OUT035,3205.276405909314
FDP03,OUT027,3225.8198892940213
FDD32,OUT010,492.10908585426307
FDZ10,OUT045,2076.621678435684
FDZ40,OUT035,942.6472056643406
FDD51,OUT018,532.8855530896298
NCY30,OUT019,413.99167791197334
FDP58,OUT017,3606.6521179707
FDV49,OUT017,4295.572706575633
FDY24,OUT019,238.8967114642894
NCO55,OUT017,1741.4736131773159
FDR13,OUT017,1973.2655800038094
FDS51,OUT017,1029.3957583696458
FDP26,OUT045,1600.057203710514
NCB54,OUT027,3345.6317197102476
FDF32,OUT017,3243.4483700491082
FDN31,OUT018,2889.731612128452
DRM48,OUT017,736.6505484848772
FDN20,OUT049,2827.6410146037415
DRL01,OUT046,3820.677538396115
FDV56,OUT049,1696.663458681973
DRH13,OUT027,2564.810077158985
FDA03,OUT017,2435.5435910938268
FDF47,OUT027,6936.190885676204
FDX32,OUT046,2324.7383925680724
FDX57,OUT049,1609.6106440567219
NCA30,OUT045,2929.3000814483526
FDO49,OUT013,769.3319796694295
FDL04,OUT019,318.1254371859837
DRM48,OUT035,738.5878675786571
FDR16,OUT013,3540.6129249814703
NCC19,OUT018,2912.8600399744323
NCE42,OUT045,3582.1353540936425
FDY24,OUT017,975.0675973291773
FDH19,OUT049,2864.2649475762432
FDJ46,OUT013,2862.961211895963
FDN45,OUT010,652.2002808730684
FDY08,OUT035,2164.225001031809
FDZ37,OUT035,1456.0784050196642
NCT30,OUT045,780.806128950304
DRY23,OUT018,547.5235045567794
NCZ30,OUT018,1649.022438310143
FDC44,OUT018,1502.1168757710275
FDB45,OUT035,1654.313784238775
FDY04,OUT013,2673.944644220966
FDM27,OUT046,2494.628937895349
FDZ43,OUT017,4126.923224591
FDT39,OUT019,394.91559629085754
NCC06,OUT019,378.4629639850927
FDL15,OUT027,3724.328283737672
FDL57,OUT017,4440.513441017042
FDU08,OUT046,1526.5852709296323
FDK40,OUT017,4211.999975666045
FDQ12,OUT010,935.1245150077094
FDS48,OUT017,2500.3076874417557
FDP09,OUT045,3551.262654046571
FDW21,OUT049,1642.786196726789
FDY25,OUT035,3030.7476598883077
DRE13,OUT017,1432.505448748279
FDV43,OUT019,136.28914334548548
FDD22,OUT045,1772.8957966713856
FDM46,OUT019,343.45637443484037
NCO30,OUT010,642.9387935834112
FDM25,OUT046,2788.4624731444405
NCN41,OUT049,2086.000333843118
FDU24,OUT045,1471.4274500452314
FDZ50,OUT046,2969.7832246335142
FDP45,OUT013,4177.712629841328
NCM54,OUT045,2009.7060916389016
FDW10,OUT019,324.9665151815298
FDP20,OUT017,2148.652853355895
FDK32,OUT046,2358.14077690748
FDN52,OUT049,1366.546234926268
FDM58,OUT045,1773.6882435509672
FDZ46,OUT027,2811.202881122589
NCA18,OUT018,1502.2915339918322
FDD35,OUT046,1978.5638306598732
NCK31,OUT035,832.7531698456894
FDI40,OUT027,2722.167849403406
FDT50,OUT019,329.6255249312958
NCT06,OUT046,2641.6294905526383
FDT31,OUT035,3140.8599197807484
FDT45,OUT049,888.0591886193137
FDT13,OUT045,3094.0483697612617
FDO50,OUT045,1415.7815522769063
NCU18,OUT010,564.5732658752936
NCR54,OUT049,3128.0719604576475
NCO18,OUT018,2730.418912052785
FDU09,OUT045,898.8969401310744
FDT13,OUT018,2916.233420301729
FDE09,OUT046,1790.4669236014336
NCK53,OUT019,366.78068217168743
FDG45,OUT049,3797.340093884386
DRH15,OUT035,767.6362214255876
FDO21,OUT019,802.9516600360492
FDD14,OUT027,5158.665177502119
FDC09,OUT046,1617.8048072936067
FDH45,OUT027,1123.5546035550403
FDV32,OUT046,1022.0844799453183
FDG12,OUT035,1963.4357049707041
FDS32,OUT013,2178.4968068533867
NCL55,OUT018,3423.5537834608645
DRE01,OUT035,3920.0863398232123
DRE15,OUT049,1278.1496492811186
NCL42,OUT045,3785.7869206977643
FDP31,OUT013,970.5903054768133
FDN33,OUT018,1250.6935688082046
FDZ59,OUT046,2584.0037792431917
FDE45,OUT010,448.9591294826118
FDJ07,OUT013,1895.8876263514853
FDQ45,OUT018,3012.669931761934
FDM33,OUT027,5584.993088441149
FDO15,OUT010,421.1723437033406
FDM46,OUT013,1484.3732536537266
FDR03,OUT045,3549.25892107366
FDY49,OUT018,2586.19170454111
FDQ60,OUT045,1822.4774278584302
FDW10,OUT049,2673.9106070211697
FDO51,OUT049,781.1529263593928
FDJ40,OUT018,1365.263947985985
FDS20,OUT018,2909.3798306903
FDU45,OUT013,1898.4387171201818
FDV02,OUT035,2834.0601123213
FDN09,OUT046,3871.301483255244
NCM55,OUT027,5141.300133279964
FDN23,OUT018,2088.0230265493424
FDY31,OUT010,483.3140827567503
FDW03,OUT010,620.8111178375889
FDD14,OUT046,2755.4417286090666
FDV23,OUT017,2097.6316791589993
DRI03,OUT045,2699.601674966058
FDN13,OUT035,1641.4980916801576
FDF45,OUT027,1704.1444534615641
FDU46,OUT035,1432.8895181660369
FDB57,OUT049,4023.821481172986
FDV12,OUT049,1640.707414262117
FDQ58,OUT013,2397.103741495729
NCA18,OUT017,1933.4432143591696
FDH52,OUT049,985.2090987860577
FDM24,OUT018,2054.2119357627325
NCP43,OUT027,4619.162771295537
NCO18,OUT019,463.73245404630364
FDM32,OUT017,1500.5586249979679
NCL07,OUT017,756.3360437184577
FDK03,OUT013,4217.39457136564
FDP59,OUT017,1618.7499736337365
FDQ24,OUT049,4246.773764188308
FDQ16,OUT018,1351.2402390584741
FDU44,OUT013,2609.7474655882506
FDH28,OUT010,60.84134088341146
FDV28,OUT019,95.15823745345942
FDM22,OUT045,889.3163867162691
FDR56,OUT046,2942.001796967617
FDV39,OUT049,3149.271067880545
FDU37,OUT019,421.20701630207293
FDQ11,OUT010,726.035647126348
FDX02,OUT045,3856.566575398791
NCS42,OUT018,1225.6604616194516
FDY57,OUT027,2570.7588983757582
FDB21,OUT049,3964.035898687785
FDE28,OUT017,3860.605189941465
FDQ55,OUT017,1971.0781535974581
FDA48,OUT049,3903.911285502825
FDZ19,OUT045,2763.3974265057427
NCC43,OUT045,3866.5510139281905
NCV18,OUT046,1247.844932154813
NCA42,OUT018,2260.7590374303245
FDY45,OUT046,3904.376627309993
NCC30,OUT045,2890.034093540043
FDM57,OUT013,1344.2172701774182
FDL09,OUT010,399.84811947609194
FDB09,OUT027,3431.2599868792713
FDT44,OUT035,1933.6127430646102
NCT06,OUT027,4155.686095743383
FDX26,OUT049,3136.3122700060144
FDK32,OUT013,2463.241163135013
DRA12,OUT046,2132.9587375367087
FDO46,OUT010,624.8098787010612
FDE52,OUT013,1322.3068335226076
NCH42,OUT045,4032.7028581461623
FDV08,OUT035,773.9024685450205
FDB47,OUT018,3200.6166291859276
FDC28,OUT010,575.6718190251349
FDD22,OUT046,1787.7559886917606
FDS07,OUT027,3130.024001047961
DRI13,OUT045,3703.175330532589
FDG32,OUT018,3041.501643638298
FDU14,OUT017,4260.30989320959
FDD28,OUT019,282.9509668791215
NCP41,OUT017,1805.8043527238622
FDS08,OUT049,2799.018323419021
FDX47,OUT045,2433.8281406157357
FDC53,OUT019,378.29355805726425
FDQ19,OUT035,4137.688381092053
FDL14,OUT045,2391.8742367711257
FDM33,OUT019,661.7150135030635
FDA51,OUT045,1800.980780216745
FDZ27,OUT018,625.5804425122354
FDT04,OUT046,693.7361218092472
DRC13,OUT049,2106.0653606688566
FDR16,OUT027,5285.641249035171
FDQ03,OUT027,6194.259211644694
FDE38,OUT035,2792.3837165470186
DRH23,OUT027,1757.4450081974994
FDT11,OUT019,600.6707750198871
FDD09,OUT035,2989.8094050623004
FDR40,OUT045,1303.6002331482116
FDX07,OUT017,3229.8522577505987
FDR07,OUT035,1745.9303320007198
FDA51,OUT017,1919.708378019884
FDT59,OUT019,851.9712628892067
FDF20,OUT017,3180.1971559042745
FDR13,OUT045,1854.0261096536492
FDY26,OUT049,3786.5811637565957
FDW04,OUT017,2167.9357822392676
FDK52,OUT017,4006.5323036909667
FDN60,OUT049,2554.906944260296
FDM09,OUT019,436.26336439830243
FDP46,OUT049,1364.6729987050687
FDB50,OUT019,379.799255641317
NCQ29,OUT049,4140.719446433138
FDP16,OUT027,6215.622517757555
FDX33,OUT018,2446.4997180753303
FDP07,OUT010,662.4659795507097
FDN22,OUT046,3588.8904515718887
FDF39,OUT049,4241.181609705469
FDS21,OUT017,1015.0748616943844
NCM42,OUT013,1649.4709718820502
FDK50,OUT019,459.173948477519
DRF13,OUT027,3588.5888108556032
FDH35,OUT018,2564.1327579008553
FDP60,OUT018,1248.3534929997415
DRJ49,OUT027,3302.3349126113226
NCT42,OUT019,407.1324726979352
FDE38,OUT049,2808.481189626589
FDI04,OUT049,3168.619921053818
NCH54,OUT045,2480.7822735866825
FDT56,OUT049,942.0834192733937
DRD15,OUT018,3047.8165506546425
FDV58,OUT013,2882.7283391393444
FDP21,OUT049,3187.7472694965354
FDH05,OUT013,3754.8337196949333
FDR10,OUT027,4178.019854987037
NCP06,OUT045,2264.3826395952656
FDF33,OUT049,1754.6652519763481
DRK37,OUT013,3133.5304521999187
DRH49,OUT045,1302.385330194056
FDT58,OUT013,2758.53994548277
FDD41,OUT018,1340.8724923472387
FDP40,OUT018,1414.3036409631677
FDM51,OUT027,2587.3866348740635
FDO45,OUT010,517.0336410498829
FDW33,OUT010,582.4089501995818
FDY24,OUT045,959.4323276288783
FDB10,OUT010,718.268237305116
FDM40,OUT035,2167.0409042126894
NCI06,OUT017,3013.736989897238
FDW12,OUT019,392.69896326204673
FDX48,OUT027,3702.7468136886478
NCW05,OUT027,2685.747616409997
FDX27,OUT017,1583.1995603929022
DRM37,OUT045,3080.880064266202
FDA38,OUT045,3811.718743286384
FDR36,OUT046,698.1733187601636
FDZ45,OUT046,3023.244196954738
FDG05,OUT017,2586.665206862893
FDK28,OUT013,4388.910024904674
FDV47,OUT045,1325.9349506612648
FDN21,OUT045,2509.9590781175893
FDP20,OUT027,3493.135619958748
FDI35,OUT045,3316.718672917404
DRY23,OUT013,719.61263144003
FDA56,OUT017,2104.4483841668284
FDB09,OUT013,2039.0350124939719
NCO26,OUT027,2945.878996802704
FDQ49,OUT018,2133.2573435174095
FDI52,OUT027,3217.659430307362
FDZ44,OUT027,3120.640234996402
FDZ09,OUT018,2503.127894291279
FDY03,OUT049,1954.465996156313
NCG42,OUT017,2192.091157178689
DRI13,OUT027,5619.835225499943
FDQ32,OUT013,2066.094125679879
FDW16,OUT035,1500.9008395201636
FDU27,OUT046,731.9721060560386
FDR28,OUT010,472.6557611052482
FDQ49,OUT010,530.3496659712459
FDS37,OUT046,1812.4994204478376
FDW26,OUT018,3035.1934420957664
FDX12,OUT018,3364.249520794995
NCP06,OUT013,2313.554360205313
FDW45,OUT010,509.20847374737116
NCN30,OUT049,1624.8779253601977
FDN24,OUT049,902.2499393468607
NCL41,OUT027,1031.8648192325452
FDR02,OUT019,348.8691152428483
FDD09,OUT010,501.06052554895274
FDS33,OUT010,543.251513329597
FDU22,OUT045,1833.9437184332635
FDI53,OUT013,2653.5207377943566
DRH01,OUT049,2859.522653329087
FDX32,OUT013,2232.3848842277916
NCP30,OUT018,535.8755547628084
FDB60,OUT045,3074.886974623997
FDB14,OUT049,1536.2158521032143
NCP02,OUT035,951.881077768718
FDJ10,OUT017,2168.9107772875414
FDG34,OUT046,1732.1230270353883
NCB18,OUT017,1418.9999123289178
FDM16,OUT049,1154.708676430053
FDW25,OUT018,1159.8840098703301
FDB35,OUT010,542.3220150724974
DRN11,OUT013,2207.04223795444
FDF41,OUT019,602.9400423739577
FDH16,OUT045,1331.1876579871162
NCQ50,OUT018,3030.468407167911
DRH23,OUT018,730.6708431781948
DRJ37,OUT013,2388.326105137071
DRJ24,OUT027,5375.169516781666
FDY16,OUT035,3111.488247936059
FDQ27,OUT045,1687.7932896297787
FDZ33,OUT045,2344.9300610060423
FDF29,OUT045,2130.357756063173
FDA08,OUT049,2751.625677732572
FDG31,OUT046,1031.3293907426919
FDE34,OUT019,667.0775498467959
NCR30,OUT027,1966.0545886965085
FDV33,OUT035,4306.1798675809005
DRZ24,OUT018,1579.9552995410852
NCL54,OUT035,2917.721236547451
FDR12,OUT049,2943.1380368288364
NCC54,OUT046,3667.622090114294
DRN59,OUT013,782.4411348329144
FDX50,OUT019,322.5226647717894
FDV31,OUT027,4765.531701827241
NCA29,OUT027,4711.143708516507
FDW60,OUT049,2841.7385090085804
FDX08,OUT017,3210.588016549378
DRD49,OUT013,3684.0976202288016
FDD33,OUT046,3617.615205450334
FDW35,OUT013,715.2892719682424
FDJ36,OUT017,1734.9392895891517
FDV51,OUT035,2810.304102073849
FDW36,OUT046,1590.446635027027
FDH35,OUT046,2649.9099181788847
NCS30,OUT027,3293.675685380718
FDN49,OUT017,741.5485499367128
FDL08,OUT018,3221.274290975803
FDI09,OUT013,3687.700126985705
FDP19,OUT018,1776.4913434346595
FDU21,OUT010,91.11382671505433
NCP41,OUT045,1646.5988329559643
FDY10,OUT013,1888.3998334052096
FDP12,OUT018,535.7771588999162
NCN26,OUT049,1958.9406801564776
FDK44,OUT013,2809.4250673402594
FDC28,OUT049,1715.4174551110489
FDJ41,OUT027,5410.881028726485
NCT29,OUT035,2067.6948048565114
NCH42,OUT019,858.7883471037045
FDU60,OUT018,2585.181255230861
FDS02,OUT045,2962.968142098806
FDC51,OUT046,1948.1103338308335
FDU03,OUT013,2990.0380102721997
FDX39,OUT045,3721.1023942707425
NCY05,OUT010,98.94982883059755
NCL06,OUT027,6032.672686794227
FDD32,OUT035,1368.392036401727
NCN41,OUT045,1973.3979027452283
NCX53,OUT049,2223.8357551872336
FDU57,OUT019,402.8951619681317
FDQ23,OUT046,1620.5282899552133
FDQ52,OUT045,3969.0348774133267
FDC14,OUT045,737.3183118663262
FDY09,OUT035,2976.0082302408746
FDQ28,OUT045,2402.2920852626103
FDV25,OUT046,3817.7180911919672
FDJ07,OUT035,1947.2770730562484
DRB25,OUT049,1686.9362560638635
FDK52,OUT019,625.4688079551012
FDY52,OUT027,1816.6243142380847
FDB28,OUT046,2924.2493747779363
FDT36,OUT035,745.0966507497219
FDV25,OUT017,4081.560521007563
NCN07,OUT027,3406.7358379110433
FDC57,OUT017,3187.3148690052235
FDQ03,OUT018,3218.8747411644317
FDU23,OUT017,2855.3161051258544
NCX41,OUT035,3781.3499038703944
NCD06,OUT035,799.8573568862087
FDW08,OUT045,1614.842526202523
NCU29,OUT017,2464.55311900848
NCE06,OUT013,2544.7493830090198
FDV52,OUT010,531.64426076364
FDB02,OUT017,2973.6808506773623
NCR18,OUT045,746.6106820357587
FDK16,OUT049,1630.442620587591
NCQ29,OUT010,830.0332541174522
FDZ01,OUT019,387.4536517031192
FDW27,OUT035,2437.449162181662
FDD17,OUT018,3364.87741074101
FDW39,OUT013,2883.0318859921135
DRH59,OUT045,1079.5377397776886
FDS52,OUT013,1676.3581752873165
FDU40,OUT027,6324.706145230882
NCF54,OUT013,2824.9561875333097
FDH46,OUT045,1639.8643381080615
NCP14,OUT049,1701.5859075251346
FDH50,OUT049,3196.4938381559027
DRF15,OUT010,475.6621400774328
FDV27,OUT027,2282.7888259802166
NCJ06,OUT049,2049.575100961601
FDN02,OUT018,3147.461750952941
FDQ51,OUT049,811.6549511424117
FDQ07,OUT017,4040.830546514304
FDS45,OUT049,1738.7321702297397
NCJ06,OUT045,1988.3281030274707
FDD36,OUT035,1964.4371430856472
FDY25,OUT045,3114.9343066144447
FDU52,OUT046,2332.874530925607
DRK47,OUT017,4211.982917716369
NCL30,OUT017,2153.1540715590486
FDN22,OUT035,3953.292006479862
NCF30,OUT027,3385.0888276304095
FDK03,OUT035,4448.334691049785
FDT45,OUT017,937.9237052669896
NCC54,OUT027,5929.344930451585
FDP08,OUT018,2862.696213504667
FDU44,OUT046,2612.0718842201686
